hb_ratio_mol,hv_ratio_mol,mw_phbv,mn_phbv,pdi,additive1_type,additive1_percentage_wt,additive2_type,additive2_percentage_wt,spread_speed,young_modulus,tensile_strength,elongation_at_break,tg1,tc1,tm1,td5,dhm1,crystallinity
100.0,0.0,1623000.0,1345000.0,1.22,no_additive,0.0,no_additive,0.0,,1578.3,16.35,3.95,3.0,,175.0,235.0,58.0,
100.0,0.0,166000.0,63846.153846153844,2.6,no_additive,0.0,no_additive,0.0,,,,,4.0,,175.0,,22.0,
100.0,0.0,3240000.0,1940119.760479042,1.67,no_additive,0.0,no_additive,0.0,,,,,8.0,,178.0,,,
37.0,63.0,1700000.0,762331.8385650225,2.23,no_additive,0.0,no_additive,0.0,,,,,-6.0,,134.0,,,
22.0,78.0,1830000.0,973404.255319149,1.88,no_additive,0.0,no_additive,0.0,,,,,-2.0,,150.0,,,
100.0,0.0,640000.0,250000.0,2.58,no_additive,0.0,no_additive,0.0,,300.0,10.0,11.0,3.0,54.0,175.0,,,80.0
100.0,0.0,1635000.0,847000.0,1.93,no_additive,0.0,no_additive,0.0,,,,,-3.08,91.54,163.3,227.84,70.64,
0.0,100.0,1056000.0,815000.0,1.3,no_additive,0.0,no_additive,0.0,,,,,-15.09,58.37,112.27,231.43,73.31,
100.0,0.0,153000.0,46363.63636363637,3.3,no_additive,0.0,no_additive,0.0,,,,,7.9,,169.0,,54.5,
100.0,0.0,505000.0,270000.0,1.87,no_additive,0.0,no_additive,0.0,,192.0,24.0,4.0,2.5,,170.0,290.0,66.2,47.3
100.0,0.0,226000.0,200000.0,1.13,no_additive,0.0,no_additive,0.0,,,,,2.5,,171.0,258.0,77.0,
0.0,100.0,230000.0,62000.0,3.52,no_additive,0.0,no_additive,0.0,,,,,-15.8,,103.0,265.0,47.0,
100.0,0.0,2200000.0,640000.0,3.44,no_additive,0.0,no_additive,0.0,,,,,4.0,,175.0,,,
87.0,13.0,1800000.0,690000.0,2.61,no_additive,0.0,no_additive,0.0,,,,,-11.0,,173.0,,,
100.0,0.0,768000.0,404210.5263157895,1.9,no_additive,0.0,no_additive,0.0,,,,,4.0,,177.0,,97.0,60.0
55.0,45.0,960000.0,400000.0,2.4,no_additive,0.0,no_additive,0.0,,,,,-10.0,,138.0,,,
29.0,71.0,508000.0,254000.0,2.0,no_additive,0.0,no_additive,0.0,,,,,-13.0,,75.0,,,
76.0,24.0,262200.0,138000.0,1.9,no_additive,0.0,no_additive,0.0,,,,,-6.0,,87.0,,,
100.0,0.0,1407600.0,782000.0,1.8,no_additive,0.0,no_additive,0.0,,3500.0,40.0,0.4,10.0,,177.0,,,
54.0,46.0,450000.0,200000.0,2.3,no_additive,0.0,no_additive,0.0,,,,,-10.3,,77.5,,19.0,
32.0,68.0,410000.0,210000.0,2.0,no_additive,0.0,no_additive,0.0,,,,,-11.8,,88.8,,49.7,
100.0,0.0,3581760.0,1148000.0,3.12,no_additive,0.0,no_additive,0.0,,,,,3.0,48.9,176.7,,83.5,
100.0,0.0,3173120.0,1072000.0,2.96,no_additive,0.0,no_additive,0.0,,,,,3.0,55.2,177.3,,85.6,
36.0,64.0,3526400.0,1102000.0,3.2,no_additive,0.0,no_additive,0.0,,,,,-13.0,,77.7,,21.8,
84.0,16.0,2608640.0,1019000.0,2.56,no_additive,0.0,no_additive,0.0,,,,,3.0,58.9,171.1,,61.4,
12.0,88.0,4252800.0,1329000.0,3.2,no_additive,0.0,no_additive,0.0,,,,,-14.0,52.4,99.7,,43.7,
57.0,43.0,3909760.0,1312000.0,2.98,no_additive,0.0,no_additive,0.0,,,,,2.0,,148.3,,4.5,
8.0,92.0,5240400.0,1985000.0,2.64,no_additive,0.0,no_additive,0.0,,,,,-15.0,50.7,102.9,,49.8,
44.0,56.0,3452680.0,1121000.0,3.08,no_additive,0.0,no_additive,0.0,,,,,-1.0,,99.5,,0.5,
5.0,95.0,4849680.0,2004000.0,2.42,no_additive,0.0,no_additive,0.0,,,,,-15.0,44.9,104.8,,54.5,
35.0,65.0,2774440.0,998000.0,2.78,no_additive,0.0,no_additive,0.0,,,,,-4.0,,99.2,,0.9,
